name,url
Chienkosaurus,https://en.wikipedia.org/wiki/Chienkosaurus
Chilantaisaurus,https://en.wikipedia.org/wiki/Chilantaisaurus
Chilesaurus,https://en.wikipedia.org/wiki/Chilesaurus
Chindesaurus,https://en.wikipedia.org/wiki/Chindesaurus
Chingkankousaurus,https://en.wikipedia.org/wiki/Chingkankousaurus
Chinshakiangosaurus,https://en.wikipedia.org/wiki/Chinshakiangosaurus
Chirostenotes,https://en.wikipedia.org/wiki/Chirostenotes
Choconsaurus,https://en.wikipedia.org/wiki/Choconsaurus
Chondrosteosaurus,https://en.wikipedia.org/wiki/Chondrosteosaurus
Choyrodon,https://en.wikipedia.org/wiki/Choyrodon
Chromogisaurus,https://en.wikipedia.org/wiki/Chromogisaurus
Chuandongocoelurus,https://en.wikipedia.org/wiki/Chuandongocoelurus
Chuanjiesaurus,https://en.wikipedia.org/wiki/Chuanjiesaurus
Chuanqilong,https://en.wikipedia.org/wiki/Chuanqilong
Chubutisaurus,https://en.wikipedia.org/wiki/Chubutisaurus
Chungkingosaurus,https://en.wikipedia.org/wiki/Chungkingosaurus
Chuxiongosaurus,https://en.wikipedia.org/wiki/Chuxiongosaurus
Cionodon,https://en.wikipedia.org/wiki/Cionodon
Citipati,https://en.wikipedia.org/wiki/Citipati
Citipes,https://en.wikipedia.org/wiki/Citipes
Claorhynchus,https://en.wikipedia.org/wiki/Claorhynchus
Claosaurus,https://en.wikipedia.org/wiki/Claosaurus
Clasmodosaurus,https://en.wikipedia.org/wiki/Clasmodosaurus
Clepsysaurus,https://en.wikipedia.org/wiki/Clepsysaurus
Coahuilaceratops,https://en.wikipedia.org/wiki/Coahuilaceratops
Coelophysis,https://en.wikipedia.org/wiki/Coelophysis
Coeluroides,https://en.wikipedia.org/wiki/Coeluroides
Coelurosauravus,https://en.wikipedia.org/wiki/Coelurosauravus
Coelurus,https://en.wikipedia.org/wiki/Coelurus
Colepiocephale,https://en.wikipedia.org/wiki/Colepiocephale
Coloradisaurus,https://en.wikipedia.org/wiki/Coloradisaurus
Comahuesaurus,https://en.wikipedia.org/wiki/Comahuesaurus
Compsognathus,https://en.wikipedia.org/wiki/Compsognathus
Compsosuchus,https://en.wikipedia.org/wiki/Compsosuchus
Concavenator,https://en.wikipedia.org/wiki/Concavenator
Conchoraptor,https://en.wikipedia.org/wiki/Conchoraptor
Condorraptor,https://en.wikipedia.org/wiki/Condorraptor
